"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","23","120192","0.0-22.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800]","test","4,8,3,6,2","5","","","","",""
"","10558","","10558","500","response","single-stim-button","24","130750","0.0-23.0","digit-span","true","0","","","","10558","","","","test","4,8,3,6,2","5","SubmitButton","4,8,6,2,4,1","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","25","132253","0.0-24.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","26","134253","0.0-25.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","27","140255","0.0-26.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800,800]","test","3,9,5,9,1","5","","","","",""
"","7047","","7047","500","response","single-stim-button","28","147302","0.0-27.0","digit-span","true","0","","","","7047","","","","test","3,9,5,9,1","5","SubmitButton","3,8,5,9,1","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","29","148804","0.0-28.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","30","150806","0.0-29.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","31","155807","0.0-30.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800]","test","4,7,3,8","4","","","","",""
"","6303","","6303","500","response","single-stim-button","32","162111","0.0-31.0","digit-span","true","0","","","","6303","","","","test","4,7,3,8","4","SubmitButton","4,8,7,3","forward","false",""
