block_num,con_num,trial,free_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win
1,5,1,1,0,1,4,4,0.47,1
1,5,2,1,0,1,4,2,0.53,1
1,5,3,1,0,1,4,3,0.4,0
1,5,4,1,0,1,4,1,0.6,1
1,5,5,0,0,1,4,2,0.53,1
1,5,6,0,0,1,4,3,0.4,1
1,5,7,0,0,1,4,3,0.4,1
1,5,8,0,0,1,4,2,0.53,1
1,5,9,0,0,1,4,3,0.4,0
1,5,10,0,0,1,4,1,0.6,0
1,5,11,0,0,1,4,1,0.6,0
1,5,12,0,0,1,4,3,0.4,0
1,5,13,0,0,1,4,1,0.6,0
1,5,14,0,0,1,4,3,0.4,0
1,5,15,0,0,1,4,2,0.53,0
1,5,16,0,0,1,4,4,0.47,1
1,5,17,0,0,1,4,2,0.53,1
1,5,18,0,0,1,4,4,0.47,0
1,5,19,0,0,1,4,4,0.47,0
1,5,20,0,0,1,4,2,0.53,1
1,5,21,0,0,1,4,1,0.6,0
1,5,22,0,0,1,4,2,0.53,0
1,5,23,0,0,1,4,2,0.53,0
1,5,24,0,0,1,4,4,0.47,1
1,5,25,0,0,1,4,2,0.53,0
1,5,26,0,0,1,4,3,0.4,1
1,5,27,0,0,1,4,1,0.6,0
1,5,28,0,0,1,4,4,0.47,1
1,5,29,0,0,1,4,1,0.6,0
1,5,30,0,0,1,4,1,0.6,1
1,5,31,0,0,1,4,2,0.53,0
1,5,32,0,0,1,4,2,0.53,0
1,5,33,0,0,1,4,4,0.47,1
1,5,34,0,0,1,4,2,0.53,1
1,5,35,0,0,1,4,0,0,0
2,1,1,1,1,1,4,2,0.47,1
2,1,2,1,1,1,4,4,0.4,0
2,1,3,1,1,1,4,3,0.6,0
2,1,4,1,1,1,4,1,0.53,0
2,1,5,0,1,1,4,3,0.6,0
2,1,6,0,1,1,4,1,0.53,0
2,1,7,0,1,1,4,1,0.53,1
2,1,8,0,1,1,4,2,0.47,0
2,1,9,0,1,1,4,1,0.53,1
2,1,10,0,1,1,4,2,0.6,0
2,1,11,0,1,1,4,4,0.4,1
2,1,12,0,1,1,4,3,0.6,0
2,1,13,0,1,1,4,3,0.6,1
2,1,14,0,1,1,4,3,0.6,0
2,1,15,0,1,1,4,4,0.4,0
2,1,16,0,1,1,4,1,0.53,0
2,1,17,0,1,1,4,2,0.47,1
2,1,18,0,1,1,4,2,0.47,1
2,1,19,0,1,1,4,1,0.47,0
2,1,20,0,1,1,4,2,0.47,1
2,1,21,0,1,1,4,4,0.4,0
2,1,22,0,1,1,4,2,0.47,0
2,1,23,0,1,1,4,3,0.6,0
2,1,24,0,1,1,4,4,0.4,0
2,1,25,0,1,1,4,4,0.4,0
2,1,26,0,1,1,4,4,0.4,0
2,1,27,0,1,1,4,3,0.6,1
2,1,28,0,1,1,4,3,0.6,0
2,1,29,0,1,1,4,1,0.53,1
2,1,30,0,1,1,4,1,0.53,1
2,1,31,0,1,1,4,2,0.47,1
2,1,32,0,1,1,4,4,0.4,1
2,1,33,0,1,1,4,3,0.6,0
2,1,34,0,1,1,4,1,0.53,0
2,1,35,0,1,1,4,0,0,0
3,7,1,1,0,0,4,1,0.4,0
3,7,2,1,0,0,4,1,0.4,1
3,7,3,1,0,0,4,4,0.53,1
3,7,4,1,0,0,4,3,0.47,1
3,7,5,0,0,0,4,3,0.47,1
3,7,6,0,0,0,4,1,0.4,1
3,7,7,0,0,0,4,4,0.53,1
3,7,8,0,0,0,4,4,0.53,0
3,7,9,0,0,0,4,2,0.6,1
3,7,10,0,0,0,4,2,0.6,1
3,7,11,0,0,0,4,3,0.47,0
3,7,12,0,0,0,4,4,0.53,0
3,7,13,0,0,0,4,4,0.53,1
3,7,14,0,0,0,4,3,0.47,1
3,7,15,0,0,0,4,3,0.47,0
3,7,16,0,0,0,4,2,0.6,1
