block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,5,1,1,0,1,4,1,0.65,1,5.57839122368023
1,5,2,1,0,1,4,2,0.36,1,2.28134178835899
1,5,3,1,0,1,4,4,0.56,0,1.33093525609002
1,5,4,1,0,1,4,3,0.43,1,0.842711614444852
1,5,5,0,0,1,4,1,0.65,1,1.55967481061816
1,5,6,0,0,1,4,1,0.65,1,3.78599515696988
1,5,7,0,0,1,4,1,0.65,1,1.85824719397351
1,5,8,0,0,1,4,1,0.65,1,2.07470837561414
1,5,9,0,0,1,4,2,0.36,0,1.64697007322684
1,5,10,0,0,1,4,3,0.43,0,1.66409682389349
1,5,11,0,0,1,4,4,0.56,0,1.51652330718935
1,5,12,0,0,1,4,1,0.65,0,2.39616271434352
1,5,13,0,0,1,4,1,0.65,1,2.4827153692022
1,5,14,0,0,1,4,1,0.65,1,1.77428430505097
1,5,15,0,0,1,4,4,0.56,0,1.33831061143428
1,5,16,0,0,1,4,1,0.65,0,1.88210329227149
1,5,17,0,0,1,4,2,0.36,0,1.29403312224895
1,5,18,0,0,1,4,1,0.65,0,1.24881167756394
1,5,19,0,0,1,4,1,0.65,1,1.86562134185806
1,5,20,0,0,1,4,3,0.43,0,3.86606418900192
1,5,21,0,0,1,4,1,0.65,1,0.999863553326577
1,5,22,0,0,1,4,3,0.43,0,0.764461063779891
1,5,23,0,0,1,4,2,0.36,0,1.62535356869921
1,5,24,0,0,1,4,1,0.65,0,1.77253978233784
1,5,25,0,0,1,4,3,0.43,1,2.57320535136387
1,5,26,0,0,1,4,3,0.43,0,1.31903362087905
1,5,27,0,0,1,4,1,0.65,0,1.28040477493778
1,5,28,0,0,1,4,1,0.65,1,2.61258223745972
1,5,29,0,0,1,4,1,0.65,1,2.56914546480402
1,5,30,0,0,1,4,3,0.43,0,1.02867610100657
1,5,31,0,0,1,4,1,0.65,0,1.71502547478303
1,5,32,0,0,1,4,1,0.65,1,1.84668576903641
1,5,33,0,0,1,4,3,0.43,1,2.41597583098337
1,5,34,0,0,1,4,1,0.65,1,1.12927731033415
2,3,1,1,1,0,4,1,0.43,0,2.98622614983469
2,3,2,1,1,0,4,2,0.36,0,2.07389120617881
2,3,3,1,1,0,4,4,0.65,0,1.2280835849233
2,3,4,1,1,0,4,1,0.43,1,1.63325810665265
2,3,5,0,1,0,4,1,0.43,1,1.31263391859829
2,3,6,0,1,0,4,3,0.56,0,2.17827397584915
2,3,7,0,1,0,4,1,0.43,0,1.88845831761137
2,3,8,0,1,0,4,2,0.36,1,1.96298526786268
2,3,9,0,1,0,4,4,0.65,0,1.97284292289987
2,3,10,0,1,0,4,1,0.43,0,1.82724667247385
2,3,11,0,1,0,4,1,0.43,0,4.31545008951798
2,3,12,0,1,0,4,3,0.56,0,0.978801287710667
2,3,13,0,1,0,4,1,0.43,0,1.2891802159138
2,3,14,0,1,0,4,4,0.65,1,3.0420587239787
2,3,15,0,1,0,4,1,0.43,1,1.62990611139685
2,3,16,0,1,0,4,1,0.43,0,2.0771481115371
2,3,17,0,1,0,4,1,0.43,0,1.93255739938468
2,3,18,0,1,0,4,4,0.65,0,1.79111944697797
2,3,19,0,1,0,4,4,0.65,1,2.24703847756609
2,3,20,0,1,0,4,1,0.43,0,2.11995004629716
2,3,21,0,1,0,4,2,0.36,0,1.16543683735654
