block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,2,1,1,1,1,8,6,0.46,1,2.50199416902615
1,2,2,1,1,1,8,2,0.38,1,1.4197749964078
1,2,3,1,1,1,8,1,0.51,0,0.889292223902885
1,2,4,1,1,1,8,5,0.69,1,0.946181284030899
1,2,5,1,1,1,8,3,0.34,0,0.821789632376749
1,2,6,1,1,1,8,8,0.42,1,0.962585633678827
1,2,7,1,1,1,8,7,0.64,1,1.05589771113591
1,2,8,1,1,1,8,4,0.56,1,1.17161385208601
1,2,9,0,1,1,8,5,0.69,1,3.15222006017575
1,2,10,0,1,1,8,4,0.56,1,1.57313885103213
1,2,11,0,1,1,8,5,0.69,0,0.998350871086586
1,2,12,0,1,1,8,6,0.46,0,0.997066404030193
1,2,13,0,1,1,8,6,0.46,1,1.37180294492282
1,2,14,0,1,1,8,7,0.64,0,0.999895552173257
1,2,15,0,1,1,8,6,0.46,0,1.39933732972713
1,2,16,0,1,1,8,8,0.42,0,1.49838679388631
1,2,17,0,1,1,8,2,0.38,0,0.997635735431686
1,2,18,0,1,1,8,1,0.51,0,1.21448788256384
1,2,19,0,1,1,8,3,0.34,0,1.23186184628867
1,2,20,0,1,1,8,5,0.69,0,1.23114791809348
1,2,21,0,1,1,8,5,0.69,1,1.78161585045746
1,2,22,0,1,1,8,5,0.69,1,1.31550947914366
1,2,23,0,1,1,8,5,0.69,1,1.06557815510314
1,2,24,0,1,1,8,5,0.69,1,1.04494064883329
1,2,25,0,1,1,8,5,0.69,1,1.22444272844587
1,2,26,0,1,1,8,5,0.69,1,1.06329026422463
1,2,27,0,1,1,8,5,0.69,0,1.49912034388399
1,2,28,0,1,1,8,5,0.69,0,1.89596873568371
1,2,29,0,1,1,8,4,0.56,0,1.44708327879198
1,2,30,0,1,1,8,4,0.56,1,1.73242483829381
1,2,31,0,1,1,8,4,0.56,0,1.11511511297431
1,2,32,0,1,1,8,7,0.64,0,1.41503620357253
1,2,33,0,1,1,8,8,0.42,0,1.09845507744467
1,2,34,0,1,1,8,4,0.56,0,1.48119606671389
1,2,35,0,1,1,8,4,0.56,1,1.27283800498117
1,2,36,0,1,1,8,6,0.46,0,0.896351509843953
1,2,37,0,1,1,8,6,0.46,1,1.0826870748424
1,2,38,0,1,1,8,6,0.46,1,1.18313360452885
2,8,1,1,0,0,8,5,0.51,0,2.92530409112806
2,8,2,1,0,0,8,2,0.64,1,0.888497695792466
2,8,3,1,0,0,8,4,0.69,1,0.879178593109827
2,8,4,1,0,0,8,2,0.64,1,0.925184247782454
2,8,5,1,0,0,8,5,0.51,1,1.02383584424388
2,8,6,1,0,0,8,5,0.51,1,1.27876798633952
2,8,7,1,0,0,8,7,0.42,0,1.05958779924549
2,8,8,1,0,0,8,1,0.46,0,0.922886395186651
2,8,9,0,0,0,8,2,0.64,0,0.946177359670401
2,8,10,0,0,0,8,4,0.69,1,1.06574327929411
2,8,11,0,0,0,8,5,0.51,0,0.931286296399776
2,8,12,0,0,0,8,2,0.64,0,0.922029077599291
2,8,13,0,0,0,8,2,0.64,1,1.06597330601653
2,8,14,0,0,0,8,2,0.64,1,1.17683232016861
2,8,15,0,0,0,8,2,0.64,1,1.13958519115113
2,8,16,0,0,0,8,4,0.69,0,1.08468607382383
2,8,17,0,0,0,8,4,0.69,1,1.24293029948603
2,8,18,0,0,0,8,5,0.51,0,1.2166643824894
2,8,19,0,0,0,8,5,0.51,1,1.88057384733111
2,8,20,0,0,0,8,4,0.69,0,1.15135368640767
2,8,21,0,0,0,8,4,0.69,1,0.89902519370662
2,8,22,0,0,0,8,2,0.64,0,0.965076382795814
2,8,23,0,0,0,8,2,0.64,1,1.18267294723773
2,8,24,0,0,0,8,2,0.64,1,1.04930934612639
2,8,25,0,0,0,8,2,0.64,1,1.33231411152519
2,8,26,0,0,0,8,5,0.51,0,0.823634978325572
2,8,27,0,0,0,8,5,0.51,0,1.04864522686694
2,8,28,0,0,0,8,5,0.51,1,1.05345435603522
2,8,29,0,0,0,8,4,0.69,1,0.955053917423356
2,8,30,0,0,0,8,2,0.64,1,1.10912022908451
2,8,31,0,0,0,8,4,0.69,0,1.01506614929531
2,8,32,0,0,0,8,4,0.69,1,1.08221434266306
2,8,33,0,0,0,8,4,0.69,1,1.06549876258941
2,8,34,0,0,0,8,4,0.69,1,1.05488191056065
2,8,35,0,0,0,8,4,0.69,1,1.23021784925368
2,8,36,0,0,0,8,2,0.64,0,0.958246217982378
2,8,37,0,0,0,8,2,0.64,1,1.1142067789915
2,8,38,0,0,0,8,2,0.64,1,1.23508554155705
3,1,1,1,1,1,4,1,0.43,0,3.44354986236431
3,1,2,1,1,1,4,3,0.36,0,0.836231207707897
3,1,3,1,1,1,4,2,0.56,0,0.881917179503944
3,1,4,1,1,1,4,4,0.65,1,0.832862009876408
3,1,5,0,1,1,4,4,0.65,1,1.21174054185394
3,1,6,0,1,1,4,4,0.65,1,1.24836068192963
3,1,7,0,1,1,4,4,0.65,0,1.17656033311505
3,1,8,0,1,1,4,1,0.43,0,1.05667352321325
3,1,9,0,1,1,4,2,0.56,0,1.39544619456865
3,1,10,0,1,1,4,2,0.56,1,0.976364900940098
3,1,11,0,1,1,4,2,0.56,1,1.23204870527843
3,1,12,0,1,1,4,2,0.56,1,1.21578140574275
3,1,13,0,1,1,4,2,0.56,0,1.04693481791764
3,1,14,0,1,1,4,2,0.56,1,0.980771936010569
3,1,15,0,1,1,4,2,0.56,1,1.1007233466371
3,1,16,0,1,1,4,2,0.56,0,1.38276664837031
3,1,17,0,1,1,4,2,0.56,1,1.08690423215739
3,1,18,0,1,1,4,2,0.56,1,1.26507203577785
3,1,19,0,1,1,4,2,0.56,1,1.26476140908198
3,1,20,0,1,1,4,2,0.56,1,1.36214363208273
3,1,21,0,1,1,4,4,0.65,0,0.746903543942608
3,1,22,0,1,1,4,4,0.65,1,1.2843725491548
3,1,23,0,1,1,4,4,0.65,1,1.40641533170128
3,1,24,0,1,1,4,3,0.36,0,1.66176949144574
3,1,25,0,1,1,4,3,0.36,1,1.44315531518077
3,1,26,0,1,1,4,2,0.56,0,0.847218457201961
3,1,27,0,1,1,4,2,0.56,0,1.04363505076617
3,1,28,0,1,1,4,2,0.56,1,1.06513379892567
3,1,29,0,1,1,4,2,0.56,1,1.29779741831589
3,1,30,0,1,1,4,4,0.65,0,0.899345178389922
3,1,31,0,1,1,4,1,0.43,0,1.16449147480307
3,1,32,0,1,1,4,3,0.36,0,1.16010406141868
3,1,33,0,1,1,4,3,0.36,0,1.14671783201629
3,1,34,0,1,1,4,3,0.36,1,1.06651184638031
4,7,1,1,0,0,4,1,0.65,0,3.29833475110354
4,7,2,1,0,0,4,4,0.36,1,1.00436356541468
4,7,3,1,0,0,4,2,0.43,0,1.04041286482243
4,7,4,1,0,0,4,1,0.65,0,0.832743374048732
4,7,5,0,0,0,4,4,0.36,0,1.18453097180463
4,7,6,0,0,0,4,4,0.36,0,1.36497036518995
4,7,7,0,0,0,4,4,0.36,1,0.797110356739722
4,7,8,0,0,0,4,3,0.56,0,1.06688194192247
4,7,9,0,0,0,4,3,0.56,0,1.2424367381027
4,7,10,0,0,0,4,3,0.56,0,1.22614166629501
4,7,11,0,0,0,4,3,0.56,1,1.18158892344218
4,7,12,0,0,0,4,3,0.56,1,1.01254521292867
4,7,13,0,0,0,4,3,0.56,1,1.06428131123539
4,7,14,0,0,0,4,3,0.56,1,1.14753469871357
4,7,15,0,0,0,4,3,0.56,0,1.68205924064387
4,7,16,0,0,0,4,2,0.43,0,1.19852758722845
4,7,17,0,0,0,4,4,0.36,0,1.16477402742021
4,7,18,0,0,0,4,4,0.36,0,1.36532295215875
4,7,19,0,0,0,4,4,0.36,1,1.39762390201213
4,7,20,0,0,0,4,3,0.56,0,1.16498081001919
4,7,21,0,0,0,4,3,0.56,1,1.35303402884165
4,7,22,0,0,0,4,3,0.56,1,1.30624501529383
4,7,23,0,0,0,4,3,0.56,0,1.86490274581593
4,7,24,0,0,0,4,3,0.56,1,2.19949086202541
4,7,25,0,0,0,4,3,0.56,1,1.95565494539915
4,7,26,0,0,0,4,3,0.56,1,1.42211329995189
4,7,27,0,0,0,4,3,0.56,1,1.21376278501702
4,7,28,0,0,0,4,3,0.56,0,1.02380203449866
4,7,29,0,0,0,4,2,0.43,0,1.24864383827662
4,7,30,0,0,0,4,2,0.43,1,1.09889037744142
4,7,31,0,0,0,4,2,0.43,1,1.08195473242085
4,7,32,0,0,0,4,3,0.56,0,1.02674861095147
4,7,33,0,0,0,4,3,0.56,1,1.31398381601321
4,7,34,0,0,0,4,3,0.56,0,1.04519361793064
5,6,1,1,0,1,8,8,0.56,1,2.85294376901584
5,6,2,1,0,1,8,1,0.38,1,1.27859440963948
5,6,3,1,0,1,8,7,0.46,1,1.29193354700692
5,6,4,1,0,1,8,2,0.42,1,0.905324364895932
5,6,5,1,0,1,8,4,0.64,0,1.00607005011989
5,6,6,1,0,1,8,3,0.69,1,1.208032039518
5,6,7,1,0,1,8,5,0.34,0,1.02180454484187
5,6,8,1,0,1,8,6,0.51,1,0.817069253709633
5,6,9,0,0,1,8,6,0.51,1,1.17774608789477
5,6,10,0,0,1,8,7,0.46,0,1.18797956203343
5,6,11,0,0,1,8,7,0.46,1,1.16378086723853
5,6,12,0,0,1,8,7,0.46,1,1.14906277682167
5,6,13,0,0,1,8,8,0.56,0,1.1916753857513
5,6,14,0,0,1,8,8,0.56,1,1.2762868971331
5,6,15,0,0,1,8,8,0.56,1,1.34920326818246
5,6,16,0,0,1,8,8,0.56,1,1.40036943141604
5,6,17,0,0,1,8,8,0.56,1,1.16509491775651
5,6,18,0,0,1,8,8,0.56,1,1.2314561297535
5,6,19,0,0,1,8,8,0.56,0,1.66587827657349
5,6,20,0,0,1,8,8,0.56,1,1.13253737636842
5,6,21,0,0,1,8,8,0.56,1,1.04888068733271
5,6,22,0,0,1,8,8,0.56,1,1.19827914622147
5,6,23,0,0,1,8,1,0.38,0,1.01610730716493
5,6,24,0,0,1,8,1,0.38,1,1.44890024868073
5,6,25,0,0,1,8,1,0.38,0,0.946279090712778
5,6,26,0,0,1,8,1,0.38,1,0.988575941126328
5,6,27,0,0,1,8,1,0.38,0,0.956431663013063
5,6,28,0,0,1,8,1,0.38,1,2.11911612970289
5,6,29,0,0,1,8,2,0.42,0,1.21324507385725
5,6,30,0,0,1,8,2,0.42,0,1.0060760875931
5,6,31,0,0,1,8,2,0.42,1,1.27961292711552
5,6,32,0,0,1,8,3,0.69,0,1.17103274771944
5,6,33,0,0,1,8,3,0.69,1,1.38968345057219
5,6,34,0,0,1,8,3,0.69,0,1.79878423915943
5,6,35,0,0,1,8,8,0.56,1,3.24982989486307
5,6,36,0,0,1,8,7,0.46,0,4.27613988530356
5,6,37,0,0,1,8,7,0.46,1,1.4231692495523
5,6,38,0,0,1,8,7,0.46,1,1.32733200950315
6,3,1,1,1,0,4,2,0.36,0,2.71058708743658
