"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1206","13","1206","0","instruction","poldrack-text","0","1206","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","63178","","","","instruction","poldrack-instructions","1","64386","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":60835},{""page_index"":1,""viewing_time"":2343}]","","","","","","",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","2","67139","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","3","69391","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","4","71643","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","5","73896","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","6","76148","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","7","78399","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","8","80651","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","9","82904","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","10","85155","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","11","87408","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","12","89660","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","13","91911","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","14","94164","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","15","96416","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","16","98668","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","17","100919","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","18","103172","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
