"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1116","13","1116","0","instruction","poldrack-text","0","1119","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","71601","","","","instruction","poldrack-instructions","1","72721","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":71600}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","74739","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","78759","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","[800,800,800]","test","3,6,3","3","","","","",""
"","8401","","8401","500","response","single-stim-button","4","87161","0.0-3.0","digit-span","true","0","","","","8401","","","","test","3,6,3","3","SubmitButton","3,6,3","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","88663","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","90669","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","95671","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800]","test","3,9,5,2","4","","","","",""
"","3457","","3457","500","response","single-stim-button","8","99128","0.0-7.0","digit-span","true","0","","","","3457","","","","test","3,9,5,2","4","SubmitButton","3,5,9,2","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","100632","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","102639","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","11","107640","0.0-10.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800]","test","5,9,5,2","4","","","","",""
"","3120","","3120","500","response","single-stim-button","12","110760","0.0-11.0","digit-span","true","0","","","","3120","","","","test","5,9,5,2","4","SubmitButton","5,9,5,2","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","13","112269","0.0-12.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","14","114289","0.0-13.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","15","120319","0.0-14.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800]","test","5,9,4,8,5","5","","","","",""
"","4105","","4105","500","response","single-stim-button","16","124424","0.0-15.0","digit-span","true","0","","","","4105","","","","test","5,9,4,8,5","5","SubmitButton","5,9,4,8,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","17","125926","0.0-16.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","18","127947","0.0-17.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","19","134977","0.0-18.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800,800]","test","3,6,1,8,2,5","6","","","","",""
"","3824","","3824","500","response","single-stim-button","20","138801","0.0-19.0","digit-span","true","0","","","","3824","","","","test","3,6,1,8,2,5","6","SubmitButton","3,6,1,8,2,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","21","140310","0.0-20.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","22","142330","0.0-21.0","digit-span","true","0","","<div class = centerbox><div class = center-text>7 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","7000","0","stim","poldrack-multi-stim-multi-response","23","150341","0.0-22.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800,800,800,800]","test","3,9,2,6,1,4,8","7","","","","",""
"","8795","","8795","500","response","single-stim-button","24","159137","0.0-23.0","digit-span","true","0","","","","8795","","","","test","3,9,2,6,1,4,8","7","SubmitButton","3,6,2,9,6,1,5,8","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","25","160640","0.0-24.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","26","162648","0.0-25.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
