block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,2,1,1,1,1,8,5,0.46,0,3.31103968294337
1,2,2,1,1,1,8,6,0.42,1,1.23296400764957
1,2,3,1,1,1,8,3,0.38,0,1.04867350962013
1,2,4,1,1,1,8,8,0.56,0,0.804555540904403
1,2,5,1,1,1,8,1,0.51,1,0.983900127001107
1,2,6,1,1,1,8,7,0.69,0,1.01692067272961
1,2,7,1,1,1,8,4,0.64,1,0.725357021670789
1,2,8,1,1,1,8,2,0.34,0,1.12111414084211
1,2,9,0,1,1,8,6,0.42,0,1.35586989065632
1,2,10,0,1,1,8,1,0.51,1,1.15116526279598
1,2,11,0,1,1,8,4,0.64,1,0.832101742736995
1,2,12,0,1,1,8,6,0.42,0,0.998118231073022
1,2,13,0,1,1,8,1,0.51,0,2.06140396930277
1,2,14,0,1,1,8,7,0.69,0,1.64165861951187
1,2,15,0,1,1,8,4,0.64,0,0.935637163929641
1,2,16,0,1,1,8,6,0.42,1,0.968021069187671
1,2,17,0,1,1,8,6,0.42,0,1.04821868287399
1,2,18,0,1,1,8,6,0.42,1,1.38031030865386
1,2,19,0,1,1,8,1,0.51,0,2.4482006188482
1,2,20,0,1,1,8,7,0.69,1,2.06573024904355
1,2,21,0,1,1,8,4,0.64,1,2.01524974871427
1,2,22,0,1,1,8,7,0.69,1,0.825571121182293
1,2,23,0,1,1,8,7,0.69,0,1.04071301361546
1,2,24,0,1,1,8,4,0.64,0,2.56657846737653
1,2,25,0,1,1,8,1,0.51,0,1.09632534533739
1,2,26,0,1,1,8,4,0.64,0,0.917118585668504
1,2,27,0,1,1,8,1,0.51,1,0.73861767211929
1,2,28,0,1,1,8,4,0.64,1,0.859840021468699
1,2,29,0,1,1,8,1,0.51,1,0.966469789855182
1,2,30,0,1,1,8,6,0.42,1,1.03315368015319
1,2,31,0,1,1,8,1,0.51,0,0.948607792612165
1,2,32,0,1,1,8,6,0.42,0,0.966065988410264
1,2,33,0,1,1,8,4,0.64,1,1.00722884340212
1,2,34,0,1,1,8,1,0.51,0,1.03266219748184
1,2,35,0,1,1,8,1,0.51,0,1.26563353650272
1,2,36,0,1,1,8,4,0.64,1,0.809032256715
1,2,37,0,1,1,8,1,0.51,0,0.977075964678079
1,2,38,0,1,1,8,3,0.38,0,0.950683692004532
2,7,1,1,0,0,4,4,0.36,0,1.82405913760886
2,7,2,1,0,0,4,1,0.65,1,1.27037300169468
2,7,3,1,0,0,4,1,0.65,1,1.1359885330312
2,7,4,1,0,0,4,2,0.43,0,0.973795405123383
2,7,5,0,0,0,4,1,0.65,0,1.54445382533595
2,7,6,0,0,0,4,4,0.36,0,0.788060956634581
2,7,7,0,0,0,4,1,0.65,0,1.30607353616506
2,7,8,0,0,0,4,3,0.56,0,0.975385100115091
2,7,9,0,0,0,4,4,0.36,1,0.916481651831418
2,7,10,0,0,0,4,3,0.56,1,1.5514293028973
2,7,11,0,0,0,4,2,0.43,0,0.848098685964942
2,7,12,0,0,0,4,1,0.65,1,0.964418523944914
2,7,13,0,0,0,4,2,0.43,0,0.709669161122292
