block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,7,1,1,0,0,4,1,0.43,0,3.5783307543461
1,7,2,1,0,0,4,2,0.36,1,1.35666495001351
1,7,3,1,0,0,4,3,0.56,1,2.03993952892779
1,7,4,1,0,0,4,1,0.43,0,1.24516958890308
1,7,5,0,0,0,4,2,0.36,0,2.16074131407368
1,7,6,0,0,0,4,1,0.43,0,1.10252039298939
1,7,7,0,0,0,4,3,0.56,0,1.26637642641435
1,7,8,0,0,0,4,2,0.36,0,1.30617528280709
1,7,9,0,0,0,4,1,0.43,1,1.0653985409881
1,7,10,0,0,0,4,3,0.56,0,0.7153615012503
1,7,11,0,0,0,4,2,0.36,1,1.47579979580769
1,7,12,0,0,0,4,4,0.65,1,2.48900067558861
1,7,13,0,0,0,4,1,0.43,1,1.46214308872004
1,7,14,0,0,0,4,3,0.56,0,0.779641906890902
1,7,15,0,0,0,4,4,0.65,1,1.38263986201491
1,7,16,0,0,0,4,2,0.36,1,0.798655037724529
1,7,17,0,0,0,4,3,0.56,0,1.94944935456442
1,7,18,0,0,0,4,1,0.43,1,0.998381058350787
1,7,19,0,0,0,4,4,0.65,1,1.73205896896252
1,7,20,0,0,0,4,2,0.36,0,1.11331595352385
1,7,21,0,0,0,4,1,0.43,0,1.34669229362044
1,7,22,0,0,0,4,3,0.56,0,0.828848918303265
1,7,23,0,0,0,4,2,0.36,0,1.67184357697261
1,7,24,0,0,0,4,1,0.43,0,0.820659120261553
1,7,25,0,0,0,4,3,0.56,0,1.24859463307075
1,7,26,0,0,0,4,4,0.65,0,1.08782886734116
1,7,27,0,0,0,4,2,0.36,0,3.16438068765274
1,7,28,0,0,0,4,1,0.43,1,1.52690316960798
1,7,29,0,0,0,4,3,0.56,0,1.06571067705227
1,7,30,0,0,0,4,2,0.36,0,1.16415247211989
1,7,31,0,0,0,4,4,0.65,0,1.0492033889459
1,7,32,0,0,0,4,4,0.65,1,1.61391094402643
1,7,33,0,0,0,4,2,0.36,1,1.23260716922232
1,7,34,0,0,0,4,3,0.56,0,1.49905453567044
2,2,1,1,1,1,8,3,0.34,0,2.94980556398514
2,2,2,1,1,1,8,6,0.69,1,1.01851775824616
2,2,3,1,1,1,8,2,0.51,1,1.04277833690867
2,2,4,1,1,1,8,5,0.38,0,1.11910103607806
2,2,5,1,1,1,8,1,0.64,1,0.965716352249729
2,2,6,1,1,1,8,4,0.46,0,0.95648418883502
2,2,7,1,1,1,8,8,0.56,1,0.967400196459494
2,2,8,1,1,1,8,7,0.42,0,1.17621197238623
2,2,9,0,1,1,8,6,0.69,0,1.61167708830908
2,2,10,0,1,1,8,8,0.56,1,1.37973313273687
2,2,11,0,1,1,8,1,0.64,1,1.21402541402495
2,2,12,0,1,1,8,2,0.51,1,1.69862297888903
2,2,13,0,1,1,8,6,0.69,1,1.28588915607543
2,2,14,0,1,1,8,8,0.56,0,2.58108352869749
2,2,15,0,1,1,8,1,0.64,1,1.52533222566126
2,2,16,0,1,1,8,2,0.51,1,1.20073850061453
2,2,17,0,1,1,8,7,0.42,0,1.32832456595497
2,2,18,0,1,1,8,3,0.34,0,1.19410787349625
2,2,19,0,1,1,8,4,0.46,0,0.977163655290497
2,2,20,0,1,1,8,5,0.38,0,1.03171350619232
2,2,21,0,1,1,8,8,0.56,1,1.04556673222396
2,2,22,0,1,1,8,1,0.64,0,1.54209640718182
2,2,23,0,1,1,8,5,0.38,1,0.831365628459025
2,2,24,0,1,1,8,4,0.46,0,1.03160966209543
2,2,25,0,1,1,8,6,0.69,1,1.66555980122939
2,2,26,0,1,1,8,7,0.42,0,0.898697963988525
2,2,27,0,1,1,8,3,0.34,0,1.24887567626138
2,2,28,0,1,1,8,1,0.64,1,2.94189439417096
2,2,29,0,1,1,8,2,0.51,1,1.78446824270941
2,2,30,0,1,1,8,5,0.38,1,2.44821258336015
2,2,31,0,1,1,8,7,0.42,0,0.916312218163512
2,2,32,0,1,1,8,3,0.34,1,1.25403497734806
2,2,33,0,1,1,8,1,0.64,0,1.5150462257152
2,2,34,0,1,1,8,1,0.64,1,2.54621455036977
2,2,35,0,1,1,8,6,0.69,1,2.33569810104382
2,2,36,0,1,1,8,5,0.38,1,1.04457960948639
2,2,37,0,1,1,8,8,0.56,0,2.404168193636
2,2,38,0,1,1,8,1,0.64,0,1.14861811875016
3,8,1,1,0,0,8,1,0.64,1,4.64593809562211
3,8,2,1,0,0,8,4,0.42,0,1.26761591447575
3,8,3,1,0,0,8,2,0.69,1,1.32879065693123
3,8,4,1,0,0,8,6,0.38,1,1.00368465443898
3,8,5,1,0,0,8,1,0.64,1,1.0696751671785
3,8,6,1,0,0,8,7,0.34,1,0.928687778825406
3,8,7,1,0,0,8,1,0.64,1,1.24314100640186
3,8,8,1,0,0,8,2,0.69,1,1.26666712954466
3,8,9,0,0,0,8,1,0.64,1,1.12824082655425
3,8,10,0,0,0,8,2,0.69,1,1.71688112687843
3,8,11,0,0,0,8,6,0.38,1,1.19300573738292
3,8,12,0,0,0,8,7,0.34,0,1.14504666645371
3,8,13,0,0,0,8,1,0.64,0,0.866141026330297
3,8,14,0,0,0,8,2,0.69,1,1.61495995058795
3,8,15,0,0,0,8,4,0.42,0,1.34847303885908
3,8,16,0,0,0,8,4,0.42,1,1.11964682137477
3,8,17,0,0,0,8,5,0.46,0,2.07481937465491
3,8,18,0,0,0,8,6,0.38,0,1.49661359548918
3,8,19,0,0,0,8,7,0.34,0,0.900735602641362
3,8,20,0,0,0,8,1,0.64,0,1.08012025388598
3,8,21,0,0,0,8,2,0.69,0,1.39866324866307
3,8,22,0,0,0,8,8,0.51,0,0.881087030415074
3,8,23,0,0,0,8,7,0.34,0,1.56463087949669
3,8,24,0,0,0,8,6,0.38,1,1.32873269742413
3,8,25,0,0,0,8,5,0.46,1,1.36617242105422
3,8,26,0,0,0,8,4,0.42,0,1.09258607438824
3,8,27,0,0,0,8,3,0.56,0,0.965777028584853
3,8,28,0,0,0,8,2,0.69,1,1.41575073551212
3,8,29,0,0,0,8,1,0.64,1,0.9990249521652
3,8,30,0,0,0,8,1,0.64,0,1.48038976556563
3,8,31,0,0,0,8,6,0.38,1,1.19752869145304
3,8,32,0,0,0,8,3,0.56,1,1.39862068466027
3,8,33,0,0,0,8,8,0.51,1,1.49832370260265
3,8,34,0,0,0,8,4,0.42,1,1.34793480038934
3,8,35,0,0,0,8,5,0.46,0,1.24691410946252
3,8,36,0,0,0,8,7,0.34,0,1.20639921174734
3,8,37,0,0,0,8,1,0.64,0,1.23940231681627
3,8,38,0,0,0,8,3,0.56,0,1.06221076851944
4,5,1,1,0,1,4,3,0.65,0,1.4083898790559
4,5,2,1,0,1,4,2,0.43,1,0.984700201472151
4,5,3,1,0,1,4,1,0.56,0,1.08417530576116
4,5,4,1,0,1,4,4,0.36,1,1.25432477485447
4,5,5,0,0,1,4,2,0.43,1,1.42804750746291
4,5,6,0,0,1,4,3,0.65,0,1.64652493556787
4,5,7,0,0,1,4,4,0.36,0,1.24758969986578
