"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1590","13","1590","0","instruction","poldrack-text","0","1591","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","15534","","","","instruction","poldrack-instructions","1","17126","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":15534}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","19133","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","23137","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800]","test","3,6,9","3","","","","",""
"","3468","","3468","500","response","single-stim-button","4","26607","0.0-3.0","digit-span","true","0","","","","3468","","","","test","3,6,9","3","SubmitButton","3,6,9","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","28110","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","30112","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","35121","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","[800,800,800,800]","test","7,2,8,4","4","","","","",""
"","3204","","3204","500","response","single-stim-button","8","38326","0.0-7.0","digit-span","true","0","","","","3204","","","","test","7,2,8,4","4","SubmitButton","7,2,8,4","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","39828","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","41830","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
