block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,7,1,1,0,0,4,3,0.36,1,3.56263165408745
1,7,2,1,0,0,4,1,0.65,0,2.12803902849555
1,7,3,1,0,0,4,2,0.43,0,1.81172739434987
1,7,4,1,0,0,4,1,0.65,0,1.40449711913243
1,7,5,0,0,0,4,3,0.36,0,3.99886676948518
1,7,6,0,0,0,4,4,0.56,0,13.0274293664843
1,7,7,0,0,0,4,2,0.43,1,4.06996142677963
1,7,8,0,0,0,4,3,0.36,0,0.924956847447902
1,7,9,0,0,0,4,2,0.43,1,2.32452468620613
1,7,10,0,0,0,4,1,0.65,1,2.01472474914044
1,7,11,0,0,0,4,4,0.56,1,2.38106515165418
1,7,12,0,0,0,4,3,0.36,1,2.14500940963626
1,7,13,0,0,0,4,2,0.43,0,1.23952003428712
1,7,14,0,0,0,4,3,0.36,0,1.38151796115562
1,7,15,0,0,0,4,1,0.65,0,1.21424000244588
1,7,16,0,0,0,4,4,0.56,0,1.59852130664513
1,7,17,0,0,0,4,2,0.43,0,1.29538249410689
1,7,18,0,0,0,4,3,0.36,0,2.52043437119573
1,7,19,0,0,0,4,4,0.56,0,1.21933169011027
1,7,20,0,0,0,4,1,0.65,0,3.84185791807249
1,7,21,0,0,0,4,3,0.36,1,1.43353275023401
1,7,22,0,0,0,4,4,0.56,1,1.29193420149386
1,7,23,0,0,0,4,2,0.43,0,1.51565059321001
1,7,24,0,0,0,4,4,0.56,1,2.51448747748509
1,7,25,0,0,0,4,3,0.36,1,1.64450256479904
1,7,26,0,0,0,4,1,0.65,0,1.2772752600722
1,7,27,0,0,0,4,2,0.43,0,0.925753489136696
1,7,28,0,0,0,4,4,0.56,0,1.64592378167436
1,7,29,0,0,0,4,2,0.43,1,0.965470586437732
1,7,30,0,0,0,4,3,0.36,0,1.24790092743933
1,7,31,0,0,0,4,1,0.65,0,0.965042530559003
1,7,32,0,0,0,4,4,0.56,1,1.81323041860014
1,7,33,0,0,0,4,2,0.43,1,1.37187191890553
1,7,34,0,0,0,4,3,0.36,1,1.38086048187688
2,6,1,1,0,1,8,2,0.51,0,3.16398331988603
2,6,2,1,0,1,8,5,0.69,1,1.01454121107236
2,6,3,1,0,1,8,8,0.46,0,1.12702322658151
2,6,4,1,0,1,8,1,0.42,0,1.69494972890243
2,6,5,1,0,1,8,6,0.38,0,1.26359046250582
2,6,6,1,0,1,8,3,0.56,0,1.168820226565
2,6,7,1,0,1,8,4,0.64,0,1.63292212225497
2,6,8,1,0,1,8,7,0.34,0,1.49379772273824
