"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1021","13","1021","0","instruction","poldrack-text","0","1022","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","59187","","","","instruction","poldrack-instructions","1","60209","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":14531},{""page_index"":1,""viewing_time"":37377},{""page_index"":0,""viewing_time"":6599},{""page_index"":1,""viewing_time"":680}]","","","","","","",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","2","62963","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","3","65215","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1240","49","1750","500","small_middle","poldrack-single-stim","4","67468","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","5","69719","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","6","71971","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","439","49","1750","500","small_middle","poldrack-single-stim","7","74221","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","475","50","1750","500","large_right","poldrack-single-stim","8","76474","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","406","51","1750","500","large_middle","poldrack-single-stim","9","78725","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","525","50","1750","500","large_right","poldrack-single-stim","10","80976","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","634","49","1750","500","large_middle","poldrack-single-stim","11","83227","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","693","49","1750","500","large_middle","poldrack-single-stim","12","85478","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","563","50","1750","500","large_right","poldrack-single-stim","13","87729","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","624","50","1750","500","large_right","poldrack-single-stim","14","89980","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","597","51","1750","500","small_middle","poldrack-single-stim","15","92232","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","665","50","1750","500","large_right","poldrack-single-stim","16","94483","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","575","50","1750","500","small_middle","poldrack-single-stim","17","96733","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","628","49","1750","500","large_middle","poldrack-single-stim","18","98985","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","607","49","1750","500","large_middle","poldrack-single-stim","19","101236","0.0-1.0-17.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","614","50","1750","500","large_right","poldrack-single-stim","20","103487","0.0-1.0-18.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
