block_num,con_num,trial,forced_choice,show_points,even_uneven,num_segments,selected_segment,selected_prob,win,RT
1,6,1,1,0,1,8,2,0.51,1,4.35963216237724
1,6,2,1,0,1,8,7,0.64,0,1.64069506735541
1,6,3,1,0,1,8,8,0.46,0,3.79651198419742
1,6,4,1,0,1,8,3,0.69,1,1.14742878591642
1,6,5,1,0,1,8,5,0.56,1,1.59175761323422
1,6,6,1,0,1,8,1,0.38,1,1.05881623132154
1,6,7,1,0,1,8,6,0.42,0,1.15388010302559
1,6,8,1,0,1,8,4,0.34,0,0.875224027084187
1,6,9,0,0,1,8,5,0.56,0,4.11731851496734
1,6,10,0,0,1,8,7,0.64,0,1.16662727226503
1,6,11,0,0,1,8,7,0.64,1,1.39897942938842
1,6,12,0,0,1,8,7,0.64,1,1.4991301544942
1,6,13,0,0,1,8,7,0.64,0,1.18226094637066
1,6,14,0,0,1,8,7,0.64,0,1.29890417261049
1,6,15,0,0,1,8,8,0.46,0,0.882159245433286
1,6,16,0,0,1,8,2,0.51,1,1.1824948976282
1,6,17,0,0,1,8,5,0.56,0,0.955478638410568
1,6,18,0,0,1,8,6,0.42,1,1.71510995551944
1,6,19,0,0,1,8,4,0.34,1,1.04220871650614
1,6,20,0,0,1,8,3,0.69,0,1.18547256779857
1,6,21,0,0,1,8,7,0.64,0,0.904523770557716
1,6,22,0,0,1,8,2,0.51,0,0.812593335285783
1,6,23,0,0,1,8,1,0.38,1,2.70896715228446
1,6,24,0,0,1,8,5,0.56,0,1.40746415941976
1,6,25,0,0,1,8,6,0.42,1,1.52529495209455
1,6,26,0,0,1,8,4,0.34,0,1.40203377511352
1,6,27,0,0,1,8,2,0.51,0,2.80255909380503
1,6,28,0,0,1,8,8,0.46,0,1.03212466603145
1,6,29,0,0,1,8,1,0.38,1,1.63186348602176
1,6,30,0,0,1,8,5,0.56,0,1.84942691028118
1,6,31,0,0,1,8,8,0.46,1,1.31017790245824
1,6,32,0,0,1,8,3,0.69,0,1.00257497210987
1,6,33,0,0,1,8,7,0.64,0,1.08228470385075
1,6,34,0,0,1,8,6,0.42,0,1.2154466942884
1,6,35,0,0,1,8,2,0.51,0,0.869247253751382
1,6,36,0,0,1,8,8,0.46,0,1.30357987550087
1,6,37,0,0,1,8,1,0.38,1,1.53583030193113
1,6,38,0,0,1,8,5,0.56,0,1.40497884340584
