"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1038","13","1038","0","instruction","poldrack-text","0","1040","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","76959","","","","instruction","poldrack-instructions","1","78001","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":31612},{""page_index"":1,""viewing_time"":45346}]","","","","","","",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","2","80754","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1303","49","1750","500","large_middle","poldrack-single-stim","3","83007","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","924","49","1750","500","large_middle","poldrack-single-stim","4","85257","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","882","49","1750","500","large_middle","poldrack-single-stim","5","87508","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","669","49","1750","500","large_middle","poldrack-single-stim","6","89760","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1019","51","1750","500","small_middle","poldrack-single-stim","7","92010","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","752","51","1750","500","small_middle","poldrack-single-stim","8","94261","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1133","50","1750","500","large_right","poldrack-single-stim","9","96513","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","673","49","1750","500","large_middle","poldrack-single-stim","10","98764","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","647","51","1750","500","small_middle","poldrack-single-stim","11","101015","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","628","50","1750","500","large_right","poldrack-single-stim","12","103266","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","639","50","1750","500","large_right","poldrack-single-stim","13","105517","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","517","50","1750","500","large_right","poldrack-single-stim","14","107768","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","618","50","1750","500","large_right","poldrack-single-stim","15","110020","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","661","51","1750","500","small_middle","poldrack-single-stim","16","112271","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","533","51","1750","500","small_middle","poldrack-single-stim","17","114522","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","609","50","1750","500","large_right","poldrack-single-stim","18","116772","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","534","49","1750","500","large_middle","poldrack-single-stim","19","119023","0.0-1.0-17.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","547","50","1750","500","large_right","poldrack-single-stim","20","121274","0.0-1.0-18.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","561","50","1750","500","large_right","poldrack-single-stim","21","123524","0.0-1.0-19.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","775","49","1750","500","small_left","poldrack-single-stim","22","125776","0.0-2.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = small>2</span>33</div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","1042","50","1750","500","large_right","poldrack-single-stim","23","128027","0.0-2.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = big>2</span></div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
"","1440","51","1750","500","small_left","poldrack-single-stim","24","130278","0.0-2.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = small>3</span>22</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
"","949","50","1750","500","large_left","poldrack-single-stim","25","132529","0.0-2.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>2</span>33</div></div>","49,50,51,97,98,99","1750","50,98","practice_interference","practice",""
