"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1461","13","1461","0","instruction","poldrack-text","0","1463","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","5207","","","","instruction","poldrack-instructions","1","6671","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":5207}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","8673","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","12677","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800]","test","4,9,5","3","","","","",""
"","5057","","5057","500","response","single-stim-button","4","17736","0.0-3.0","digit-span","true","0","","","","5057","","","","test","4,9,5","3","SubmitButton","4,9,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","19239","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","21241","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","26243","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","[800,800,800,800]","test","8,2,8,3","4","","","","",""
"","5417","","5417","500","response","single-stim-button","8","31661","0.0-7.0","digit-span","true","0","","","","5417","","","","test","8,2,8,3","4","SubmitButton","8,2,8,3","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","33162","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","35163","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","11","41167","0.0-10.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800,800]","test","8,4,7,3,8","5","","","","",""
"","5648","","5648","500","response","single-stim-button","12","46815","0.0-11.0","digit-span","true","0","","","","5648","","","","test","8,4,7,3,8","5","SubmitButton","8,4,7,3,8","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","13","48318","0.0-12.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","14","50320","0.0-13.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","15","57323","0.0-14.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800,800]","test","6,2,6,2,9,5","6","","","","",""
"","5013","","5013","500","response","single-stim-button","16","62336","0.0-15.0","digit-span","true","0","","","","5013","","","","test","6,2,6,2,9,5","6","SubmitButton","6,2,6,2,9,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","17","63837","0.0-16.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","18","65838","0.0-17.0","digit-span","true","0","","<div class = centerbox><div class = center-text>7 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","7000","0","stim","poldrack-multi-stim-multi-response","19","73840","0.0-18.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","[800,800,800,800,800,800,800]","test","5,1,6,2,6,2,6","7","","","","",""
"","5639","","5639","500","response","single-stim-button","20","79480","0.0-19.0","digit-span","true","0","","","","5639","","","","test","5,1,6,2,6,2,6","7","SubmitButton","5,1,6,2,6,2,6","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","21","80981","0.0-20.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","22","82983","0.0-21.0","digit-span","true","0","","<div class = centerbox><div class = center-text>8 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","8000","0","stim","poldrack-multi-stim-multi-response","23","91985","0.0-22.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800,800,800,800]","test","6,3,6,3,9,4,1,5","8","","","","",""
"","5598","","5598","500","response","single-stim-button","24","97583","0.0-23.0","digit-span","true","0","","","","5598","","","","test","6,3,6,3,9,4,1,5","8","SubmitButton","6,3,6,3,9,4,1,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","25","99085","0.0-24.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","26","101087","0.0-25.0","digit-span","true","0","","<div class = centerbox><div class = center-text>9 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","9000","0","stim","poldrack-multi-stim-multi-response","27","111090","0.0-26.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","[800,800,800,800,800,800,800,800,800]","test","5,1,6,1,6,2,8,1,6","9","","","","",""
"","17630","","17630","500","response","single-stim-button","28","128720","0.0-27.0","digit-span","true","0","","","","17630","","","","test","5,1,6,1,6,2,8,1,6","9","SubmitButton","5,1,9,4,2,6","forward","false",""
