"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1130","13","1130","0","instruction","poldrack-text","0","1131","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","23747","","","","instruction","poldrack-instructions","1","24879","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":20779},{""page_index"":1,""viewing_time"":2967}]","","","","","","",""
"","-1","-1","1750","500","small_middle","poldrack-single-stim","2","27632","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","958","49","1750","500","large_middle","poldrack-single-stim","3","29884","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","4","32146","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","292","50","1750","500","large_right","poldrack-single-stim","5","34397","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","1329","51","1750","500","small_middle","poldrack-single-stim","6","36648","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","589","51","1750","500","small_middle","poldrack-single-stim","7","38899","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1155","50","1750","500","large_middle","poldrack-single-stim","8","41151","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1103","51","1750","500","small_middle","poldrack-single-stim","9","43402","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
