"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","2135","13","2135","0","instruction","poldrack-text","0","2136","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","13329","","","","instruction","poldrack-instructions","1","15467","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":4257},{""page_index"":1,""viewing_time"":9071}]","","","","","","",""
"","1278","49","1750","500","large_middle","poldrack-single-stim","2","18221","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","688","49","1750","500","large_middle","poldrack-single-stim","3","20473","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","732","50","1750","500","large_right","poldrack-single-stim","4","22725","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","569","50","1750","500","large_right","poldrack-single-stim","5","24975","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","567","50","1750","500","large_right","poldrack-single-stim","6","27226","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","484","50","1750","500","large_right","poldrack-single-stim","7","29477","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","640","51","1750","500","small_middle","poldrack-single-stim","8","31728","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","438","51","1750","500","small_middle","poldrack-single-stim","9","33978","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","435","51","1750","500","small_middle","poldrack-single-stim","10","36230","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","646","49","1750","500","large_middle","poldrack-single-stim","11","38481","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","525","49","1750","500","large_middle","poldrack-single-stim","12","40731","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","545","50","1750","500","large_right","poldrack-single-stim","13","42983","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","702","49","1750","500","large_middle","poldrack-single-stim","14","45234","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","579","49","1750","500","large_middle","poldrack-single-stim","15","47485","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","650","51","1750","500","small_middle","poldrack-single-stim","16","49735","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
