"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","2331","13","2331","0","instruction","poldrack-text","0","2333","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","33889","","","","instruction","poldrack-instructions","1","36223","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":8785},{""page_index"":1,""viewing_time"":25103}]","","","","","","",""
"","1402","49","1750","500","large_middle","poldrack-single-stim","2","38976","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1110","50","1750","500","large_right","poldrack-single-stim","3","41228","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","938","51","1750","500","small_middle","poldrack-single-stim","4","43480","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","949","50","1750","500","large_right","poldrack-single-stim","5","45732","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","1241","51","1750","500","small_middle","poldrack-single-stim","6","47983","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1007","49","1750","500","large_middle","poldrack-single-stim","7","50234","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","835","49","1750","500","large_middle","poldrack-single-stim","8","52485","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","976","49","1750","500","large_middle","poldrack-single-stim","9","54736","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1013","51","1750","500","small_middle","poldrack-single-stim","10","56987","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","778","50","1750","500","large_right","poldrack-single-stim","11","59239","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","880","51","1750","500","small_middle","poldrack-single-stim","12","61491","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","901","51","1750","500","small_middle","poldrack-single-stim","13","63742","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","673","50","1750","500","large_right","poldrack-single-stim","14","65995","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","581","50","1750","500","large_right","poldrack-single-stim","15","68245","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","673","49","1750","500","large_middle","poldrack-single-stim","16","70496","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","742","50","1750","500","large_right","poldrack-single-stim","17","72747","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","812","49","1750","500","large_middle","poldrack-single-stim","18","74998","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","752","50","1750","500","large_right","poldrack-single-stim","19","77249","0.0-1.0-17.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
