"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","5194","13","5194","0","instruction","poldrack-text","0","5196","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","19821","","","","instruction","poldrack-instructions","1","25018","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":19820}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","27021","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","31025","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800]","test","9,6,2","3","","","","",""
"","5042","","5042","500","response","single-stim-button","4","36068","0.0-3.0","digit-span","true","0","","","","5042","","","","test","9,6,2","3","SubmitButton","9,6,2","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","37570","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","39572","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","44574","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800]","test","5,1,4,9","4","","","","",""
"","3997","","3997","500","response","single-stim-button","8","48571","0.0-7.0","digit-span","true","0","","","","3997","","","","test","5,1,4,9","4","SubmitButton","5,1,4,9","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","50073","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","52074","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","11","58075","0.0-10.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800,800]","test","5,1,6,2,8","5","","","","",""
"","5151","","5151","500","response","single-stim-button","12","63227","0.0-11.0","digit-span","true","0","","","","5151","","","","test","5,1,6,2,8","5","SubmitButton","5,1,6,2,8","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","13","64729","0.0-12.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","14","66730","0.0-13.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","15","73732","0.0-14.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800,800]","test","9,4,8,3,6,2","6","","","","",""
"","7118","","7118","500","response","single-stim-button","16","80850","0.0-15.0","digit-span","true","0","","","","7118","","","","test","9,4,8,3,6,2","6","SubmitButton","9,4,8,3,6,2","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","17","82352","0.0-16.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","18","84353","0.0-17.0","digit-span","true","0","","<div class = centerbox><div class = center-text>7 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","7000","0","stim","poldrack-multi-stim-multi-response","19","92355","0.0-18.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800,800,800,800]","test","6,1,4,9,6,2,9","7","","","","",""
"","7498","","7498","500","response","single-stim-button","20","99853","0.0-19.0","digit-span","true","0","","","","7498","","","","test","6,1,4,9,6,2,9","7","SubmitButton","6,1,4,9,6,2,9","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","21","101354","0.0-20.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","22","103355","0.0-21.0","digit-span","true","0","","<div class = centerbox><div class = center-text>8 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","8000","0","stim","poldrack-multi-stim-multi-response","23","112356","0.0-22.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","[800,800,800,800,800,800,800,800]","test","4,9,6,1,8,2,5,2","8","","","","",""
"","8048","","8048","500","response","single-stim-button","24","120404","0.0-23.0","digit-span","true","0","","","","8048","","","","test","4,9,6,1,8,2,5,2","8","SubmitButton","4,9,6,1,8,2,5,2","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","25","121906","0.0-24.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","26","123907","0.0-25.0","digit-span","true","0","","<div class = centerbox><div class = center-text>9 Digits</p></div>","none","1000","","","","","","","","","","",""
