"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1018","13","1018","0","instruction","poldrack-text","0","1020","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","89547","","","","instruction","poldrack-instructions","1","90567","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":43843},{""page_index"":1,""viewing_time"":45704}]","","","","","","",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","2","93321","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_middle","poldrack-single-stim","3","95574","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","752","49","1750","500","large_middle","poldrack-single-stim","4","97826","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","5","100077","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","1409","49","1750","500","large_middle","poldrack-single-stim","6","102328","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","959","50","1750","500","large_right","poldrack-single-stim","7","104579","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","1228","51","1750","500","small_middle","poldrack-single-stim","8","106831","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1000","51","1750","500","small_middle","poldrack-single-stim","9","109082","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","934","51","1750","500","small_middle","poldrack-single-stim","10","111333","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1163","49","1750","500","large_middle","poldrack-single-stim","11","113584","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1048","51","1750","500","small_middle","poldrack-single-stim","12","115835","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1181","50","1750","500","large_right","poldrack-single-stim","13","118085","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","1114","49","1750","500","large_middle","poldrack-single-stim","14","120337","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","1006","51","1750","500","small_middle","poldrack-single-stim","15","122588","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
