"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"","[-1]","","8000","0","stim","poldrack-multi-stim-multi-response","23","107416","0.0-22.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","[800,800,800,800,800,800,800,800]","test","6,2,7,4,8,3,7,4","8","","","","",""
"","9406","","9406","500","response","single-stim-button","24","116822","0.0-23.0","digit-span","true","0","","","","9406","","","","test","6,2,7,4,8,3,7,4","8","SubmitButton","6,2,7,4,1,3,7,2","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","25","118324","0.0-24.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","26","120325","0.0-25.0","digit-span","true","0","","<div class = centerbox><div class = center-text>8 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","8000","0","stim","poldrack-multi-stim-multi-response","27","129328","0.0-26.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","[800,800,800,800,800,800,800,800]","test","6,1,5,9,4,7,1,4","8","","","","",""
"","13559","","13559","500","response","single-stim-button","28","142887","0.0-27.0","digit-span","true","0","","","","13559","","","","test","6,1,5,9,4,7,1,4","8","SubmitButton","6,1,5,9,4,7,7,2","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","29","144389","0.0-28.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","30","146390","0.0-29.0","digit-span","true","0","","<div class = centerbox><div class = center-text>7 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","7000","0","stim","poldrack-multi-stim-multi-response","31","154391","0.0-30.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800,800,800,800]","test","4,8,5,8,1,8,1","7","","","","",""
"","5980","","5980","500","response","single-stim-button","32","160371","0.0-31.0","digit-span","true","0","","","","5980","","","","test","4,8,5,8,1,8,1","7","SubmitButton","4,8,5,7,1,8,1","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","33","161872","0.0-32.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","34","163873","0.0-33.0","digit-span","true","0","","<div class = centerbox><div class = center-text>7 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","7000","0","stim","poldrack-multi-stim-multi-response","35","171874","0.0-34.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800,800,800,800]","test","9,6,9,6,9,3,9","7","","","","",""
"","5556","","5556","500","response","single-stim-button","36","177431","0.0-35.0","digit-span","true","0","","","","5556","","","","test","9,6,9,6,9,3,9","7","SubmitButton","7,6,9,6,9,7,9","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","37","178932","0.0-36.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","38","180933","0.0-37.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","39","187935","0.0-38.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800,800,800]","test","7,3,6,3,8,1","6","","","","",""
"","5226","","5226","500","response","single-stim-button","40","193162","0.0-39.0","digit-span","true","0","","","","5226","","","","test","7,3,6,3,8,1","6","SubmitButton","7,3,6,8,1,3","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","41","194663","0.0-40.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","42","196665","0.0-41.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","43","203666","0.0-42.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","[800,800,800,800,800,800]","test","5,2,8,3,9,3","6","","","","",""
"","4526","","4526","500","response","single-stim-button","44","208193","0.0-43.0","digit-span","true","0","","","","4526","","","","test","5,2,8,3,9,3","6","SubmitButton","5,2,8,9,3,9","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","45","209695","0.0-44.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","46","211696","0.0-45.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","47","217697","0.0-46.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800]","test","6,1,7,2,5","5","","","","",""
"","3685","","3685","500","response","single-stim-button","48","221383","0.0-47.0","digit-span","true","0","","","","3685","","","","test","6,1,7,2,5","5","SubmitButton","6,1,7,2,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","49","222884","0.0-48.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","50","224885","0.0-49.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","51","231886","0.0-50.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","[800,800,800,800,800,800]","test","6,2,8,2,5,8","6","","","","",""
"","4106","","4106","500","response","single-stim-button","52","235992","0.0-51.0","digit-span","true","0","","","","4106","","","","test","6,2,8,2,5,8","6","SubmitButton","6,2,8,5,2,8","forward","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","53","237495","0.0-52.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","54","239495","0.0-53.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","6000","0","stim","poldrack-multi-stim-multi-response","55","246497","0.0-54.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800,800]","test","6,2,8,2,8,5","6","","","","",""
"","6608","","6608","500","response","single-stim-button","56","253105","0.0-55.0","digit-span","true","0","","","","6608","","","","test","6,2,8,2,8,5","6","SubmitButton","6,2,8,2,8,5","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","57","254608","0.0-56.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"<div class = centerbox><p class = block-text>In these next trials, instead of reporting back the sequence you just saw, report the <strong>reverse</strong> of that sequence. So the last item should be first in your response, the second to last should be the second in your response, etc...</p><p class = block-text>Press <strong>enter</strong> to begin.</p></div>","7309","13","7309","1000","start_reverse","poldrack-text","58","262918","0.0-58.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","59","264919","0.0-59.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","60","268922","0.0-60.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800]","test","3,6,1","3","","","","",""
"","3224","","3224","500","response","single-stim-button","61","272146","0.0-61.0","digit-span","true","0","","","","3224","","","","test","3,6,1","3","SubmitButton","1,6,3","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","62","273648","0.0-62.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","63","275649","0.0-63.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","64","280650","0.0-64.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>""]","[-1]","[800,800,800,800]","test","8,3,7,1","4","","","","",""
"","6183","","6183","500","response","single-stim-button","65","286833","0.0-65.0","digit-span","true","0","","","","6183","","","","test","8,3,7,1","4","SubmitButton","1,7,3,8","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","66","288335","0.0-66.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","67","290337","0.0-67.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","68","296339","0.0-68.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800,800]","test","8,2,6,3,9","5","","","","",""
"","5846","","5846","500","response","single-stim-button","69","302186","0.0-69.0","digit-span","true","0","","","","5846","","","","test","8,2,6,3,9","5","SubmitButton","9,6,2,7,5","reverse","false",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","70","303687","0.0-70.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:red"">Incorrect</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","71","305688","0.0-71.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","5000","0","stim","poldrack-multi-stim-multi-response","72","311689","0.0-72.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","[800,800,800,800,800]","test","6,9,5,8,5","5","","","","",""
"","10984","","10984","500","response","single-stim-button","73","322674","0.0-73.0","digit-span","true","0","","","","10984","","","","test","6,9,5,8,5","5","SubmitButton","5,8,5,9,6","reverse","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","74","324175","0.0-74.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","75","326177","0.0-75.0","digit-span","true","0","","<div class = centerbox><div class = center-text>6 Digits</p></div>","none","1000","","","","","","","","","","",""
