"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","correct_response","condition","exp_stage","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. Press <strong>enter</strong> to begin.</p></div>","1051","13","1051","0","instruction","poldrack-text","0","1055","0.0-0.0-0.0","multisource","true","0","","","","","","","",""
"","45572","","","","instruction","poldrack-instructions","1","46630","0.0-0.0-1.0","multisource","true","0","[{""page_index"":0,""viewing_time"":32788},{""page_index"":1,""viewing_time"":12784}]","","","","","","",""
"","-1","-1","1750","500","large_right","poldrack-single-stim","2","49389","0.0-1.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","580","49","1750","500","large_middle","poldrack-single-stim","3","51661","0.0-1.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","640","50","1750","500","large_right","poldrack-single-stim","4","53951","0.0-1.0-2.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","570","50","1750","500","large_right","poldrack-single-stim","5","56230","0.0-1.0-3.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","610","49","1750","500","large_middle","poldrack-single-stim","6","58493","0.0-1.0-4.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","490","49","1750","500","large_middle","poldrack-single-stim","7","60763","0.0-1.0-5.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","700","51","1750","500","small_middle","poldrack-single-stim","8","63033","0.0-1.0-6.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","560","50","1750","500","large_right","poldrack-single-stim","9","65302","0.0-1.0-7.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","570","51","1750","500","small_middle","poldrack-single-stim","10","67582","0.0-1.0-8.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","540","51","1750","500","small_middle","poldrack-single-stim","11","69852","0.0-1.0-9.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","610","49","1750","500","large_middle","poldrack-single-stim","12","72112","0.0-1.0-10.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","590","50","1750","500","large_right","poldrack-single-stim","13","74363","0.0-1.0-11.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","623","50","1750","500","large_right","poldrack-single-stim","14","76642","0.0-1.0-12.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","570","50","1750","500","large_right","poldrack-single-stim","15","78922","0.0-1.0-13.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","700","51","1750","500","small_middle","poldrack-single-stim","16","81192","0.0-1.0-14.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","680","51","1750","500","small_middle","poldrack-single-stim","17","83452","0.0-1.0-15.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","480","51","1750","500","small_middle","poldrack-single-stim","18","85712","0.0-1.0-16.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","830","49","1750","500","large_middle","poldrack-single-stim","19","87982","0.0-1.0-17.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = big>1</span>xx</div></div>","49,50,51,97,98,99","1750","49,97","practice_control","practice",""
"","560","50","1750","500","large_right","poldrack-single-stim","20","90272","0.0-1.0-18.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >x<span class = big>2</span>x</div></div>","49,50,51,97,98,99","1750","50,98","practice_control","practice",""
"","540","51","1750","500","small_middle","poldrack-single-stim","21","92532","0.0-1.0-19.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >xx<span class = big>3</span></div></div>","49,50,51,97,98,99","1750","51,99","practice_control","practice",""
"","1100","51","1750","500","small_right","poldrack-single-stim","22","94792","0.0-2.0-0.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text >33<span class = small>1</span></div></div>","49,50,51,97,98,99","1750","49,97","practice_interference","practice",""
"","1600","51","1750","500","small_left","poldrack-single-stim","23","97062","0.0-2.0-1.0","multisource","true","0","","<div class = centerbox><div class = center-ms-text ><span class = small>3</span>11</div></div>","49,50,51,97,98,99","1750","51,99","practice_interference","practice",""
