"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1146","13","1146","0","instruction","poldrack-text","0","1148","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","45321","","","","instruction","poldrack-instructions","1","46470","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":45321}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","48473","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","52476","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","[800,800,800]","test","7,4,7","3","","","","",""
"","6330","","6330","500","response","single-stim-button","4","58808","0.0-3.0","digit-span","true","0","","","","6330","","","","test","7,4,7","3","SubmitButton","7,4,7","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","60311","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","62312","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","67314","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800,800]","test","3,8,3,9","4","","","","",""
"","5716","","5716","500","response","single-stim-button","8","73032","0.0-7.0","digit-span","true","0","","","","5716","","","","test","3,8,3,9","4","SubmitButton","3,8,3,9","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","74534","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
