"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","stimulus","possible_responses","stim_duration","stimuli","key_presses","stim_durations","exp_stage","sequence","num_digits","mouse_click","response","condition","correct","responses"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 10 minutes. Press <strong>enter</strong> to begin.</p></div>","1017","13","1017","0","instruction","poldrack-text","0","1019","0.0-0.0-0.0","digit-span","true","0","","","","","","","","","","","","","","",""
"","6188","","","","instruction","poldrack-instructions","1","7208","0.0-0.0-1.0","digit-span","true","0","[{""page_index"":0,""viewing_time"":6188}]","","","","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","2","9211","0.0-1.0","digit-span","true","0","","<div class = centerbox><div class = center-text>3 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","3000","0","stim","poldrack-multi-stim-multi-response","3","13216","0.0-2.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","[800,800,800]","test","5,2,9","3","","","","",""
"","2895","","2895","500","response","single-stim-button","4","16113","0.0-3.0","digit-span","true","0","","","","2895","","","","test","5,2,9","3","SubmitButton","5,2,9","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","5","17615","0.0-4.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","6","19616","0.0-5.0","digit-span","true","0","","<div class = centerbox><div class = center-text>4 Digits</p></div>","none","1000","","","","","","","","","","",""
"","[-1]","","4000","0","stim","poldrack-multi-stim-multi-response","7","24618","0.0-6.0","digit-span","true","0","","","none","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","[800,800,800,800]","test","5,9,2,7","4","","","","",""
"","2893","","2893","500","response","single-stim-button","8","27513","0.0-7.0","digit-span","true","0","","","","2893","","","","test","5,9,2,7","4","SubmitButton","5,9,2,7","forward","true",""
"","-1","-1","1000","1000","feedback","poldrack-single-stim","9","29014","0.0-8.0","digit-span","true","0","","<div class = centerbox><div class = center-text><span style=""color:green"">Correct!</span></div></div>","none","1000","","","","","","","","","","",""
"","-1","-1","1000","1000","test_intro","poldrack-single-stim","10","31015","0.0-9.0","digit-span","true","0","","<div class = centerbox><div class = center-text>5 Digits</p></div>","none","1000","","","","","","","","","","",""
